IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.29.244,4,4,0.00,94.16,10.48
104.20.24.241,4,4,0.00,96.75,10.13
172.64.229.193,4,4,0.00,82.86,0.00
104.20.21.54,4,4,0.00,93.49,0.00
104.20.30.48,4,4,0.00,94.37,0.00
104.20.16.248,4,4,0.00,95.03,0.00
104.20.25.42,4,4,0.00,95.37,0.00
104.20.27.242,4,4,0.00,95.55,0.00
104.26.15.153,4,4,0.00,95.66,0.00
172.65.228.150,4,4,0.00,96.15,0.00
104.20.17.202,4,4,0.00,96.54,0.00
162.159.58.56,4,4,0.00,87.15,0.00
104.20.23.216,4,4,0.00,97.13,0.00
104.26.13.7,4,4,0.00,97.26,0.00
104.20.31.163,4,4,0.00,97.33,0.00
104.26.14.199,4,4,0.00,97.43,0.00
104.26.12.203,4,4,0.00,97.51,0.00
104.20.19.105,4,4,0.00,97.58,0.00
104.20.22.71,4,4,0.00,98.20,0.00
172.65.229.38,4,4,0.00,98.64,0.00
172.65.226.205,4,4,0.00,99.05,0.00
172.65.231.93,4,4,0.00,99.14,0.00
104.26.11.69,4,4,0.00,99.30,0.00
172.65.227.67,4,4,0.00,99.43,0.00
104.20.20.26,4,4,0.00,100.28,0.00
104.20.18.9,4,4,0.00,100.30,0.00
172.65.224.159,4,4,0.00,100.43,0.00
172.65.230.132,4,4,0.00,100.44,0.00
172.65.232.156,4,4,0.00,100.52,0.00
172.65.236.59,4,4,0.00,100.72,0.00
172.67.78.116,4,4,0.00,100.81,0.00
104.20.28.190,4,4,0.00,101.00,0.00
162.159.134.44,4,4,0.00,101.06,0.00
172.65.235.35,4,4,0.00,101.63,0.00
172.65.233.168,4,4,0.00,102.30,0.00
172.65.237.8,4,4,0.00,102.67,0.00
172.67.79.239,4,4,0.00,102.81,0.00
104.26.10.161,4,4,0.00,103.43,0.00
104.26.8.97,4,4,0.00,104.01,0.00
172.65.238.200,4,4,0.00,104.30,0.00
172.65.234.146,4,4,0.00,105.14,0.00
104.20.26.88,4,4,0.00,105.18,0.00
104.26.9.229,4,4,0.00,105.20,0.00
172.67.77.40,4,4,0.00,105.38,0.00
172.67.74.208,4,4,0.00,105.71,0.00
172.67.76.247,4,4,0.00,106.36,0.00
172.67.66.15,4,4,0.00,106.65,0.00
172.65.239.68,4,4,0.00,107.03,0.00
104.26.7.210,4,4,0.00,108.04,0.00
162.159.137.74,4,4,0.00,108.14,0.00
162.159.141.152,4,4,0.00,108.23,0.00
172.67.72.75,4,4,0.00,108.25,0.00
172.67.68.187,4,4,0.00,108.36,0.00
162.159.152.227,4,4,0.00,108.41,0.00
162.159.138.167,4,4,0.00,109.08,0.00
172.67.64.251,4,4,0.00,109.19,0.00
172.67.75.51,4,4,0.00,110.04,0.00
162.159.153.220,4,4,0.00,110.44,0.00
104.26.6.215,4,4,0.00,110.58,0.00
104.26.5.134,4,4,0.00,110.98,0.00
172.67.65.226,4,4,0.00,111.16,0.00
162.159.142.21,4,4,0.00,111.48,0.00
172.67.67.51,4,4,0.00,111.90,0.00
162.159.143.133,4,4,0.00,111.92,0.00
172.67.73.13,4,4,0.00,114.14,0.00
104.26.3.165,4,4,0.00,114.18,0.00
162.159.133.39,4,4,0.00,114.44,0.00
104.26.4.90,4,4,0.00,114.92,0.00
104.26.1.178,4,4,0.00,115.56,0.00
104.26.0.119,4,4,0.00,115.57,0.00
162.159.129.173,4,4,0.00,116.82,0.00
104.26.2.53,4,4,0.00,117.02,0.00
162.159.130.159,4,4,0.00,119.76,0.00
162.159.38.96,4,4,0.00,195.79,0.00
162.159.45.115,4,4,0.00,199.57,0.00
